type,date,window_id,live_hours,defects_gated,gates_passed,gates_failed,routine,account,outcome,failure_class,notes
window,2026-07-19,window-1,,DEFECT-22b;DEFECT-23;DEFECT-24,1,1,,,,,"DEFECT-23 (GOTO exact arrival) PASSED live. DEFECT-22b FAILED live: ban fail-fast check never ran because MannyPlugin's world-busy classification short-circuited first, so the banned account still world-hopped 5/5. DEFECT-24 untested this window (blocked upstream of 3/4). live_hours not recorded historically -- see DEPLOY_WINDOW_CHECKLIST.md (c) going forward."
window,2026-07-19,window-2,,nav-stage2-shadow-mode;DEFECT-25;DEFECT-24;DEFECT-22c,3,0,,,,,"DEFECT-25 PASS (canonical live-hull NPC click, pacing NPCs now clickable). DEFECT-24 PASS (monologues report type:continue correctly). shadow-mode PASS (zero behavior change vs. legacy pathfinder, ~5MB/168ms load). DEFECT-22c PARTIAL/deprioritized (ban text not present in scannable String fields) -- not counted as a fail, not blocking. Tutorial Island completed to mainland (newbakshesh) this window. live_hours not recorded historically."
window,2026-07-19,window-3,,DEFECT-26 (4 gates: loop-block/STOP/dual-launch/combat-style-switch),4,0,,,,,"All four DEFECT-26 gates passed live on diort. Two-lane world proven (newbakshesh + blast simultaneous, peak 76C, refuse threshold 88C). Lane-1 client started 06:19:54Z, 8h cap 14:19:54Z. live_hours not recorded historically."
window,2026-07-19,lane-2-window,,DEFECT-7-class bridge short-circuit (05->06 bridge),1,0,,,,,"blast tutorial 05->06 bridge fixed + live-proven (363d1c4). blast then cleared mining (07 first half) and parked cleanly at the 07 smelt step, filed as DEFECT-27 candidate (NAV-EXACT reported success while off-target). live_hours not recorded historically."
window,2026-07-19,lane-2b-window,,DEFECT-28 (substring item-name matcher);DEFECT-29 (canonical-path click bug),1,1,,,,,"DEFECT-28 fixed + live-cleared -- section 07 now hands-free end-to-end on a fresh account (dbba4c3, 3b59347). Section 08 BLOCKED by DEFECT-29 (handle_click_widget/handle_equip_item click interface-relative bounds as screen-absolute, walking the player instead of equipping) -- filed, not fixed this window (fixed + deployed next window per DEFECT-29 commits ba8efd3/cba886e). blast parked cleanly at (3111,9525), dagger unequipped. live_hours not recorded historically."
window,2026-07-19,ban-incident,1.07,,,,,,,,"Not a Java deploy window -- the newbakshesh ban incident itself, recorded here for completeness. run-1 (chicken_feathers.yaml, Block stance) started 06:54:03Z; its 1h KILL_LOOP_CONFIG step timeout orphaned the still-running Java loop as unmanaged_loop at 07:55:05Z (kill 177/iteration 191) -- DEFECT-30 candidate. Relaunch 07:57:45Z; account banned 07:58:17Z, 32s later, its 178th scripted kill of the morning. live_hours computed as run-1-start to ban timestamp (~64 min). See journals/2026-07-19_newbakshesh_ban_and_pivot.md."
first_contact,2026-07-18,routines/tutorial_island/01_character_creation.yaml,,,,,,newbakshesh,fail,environmental_disconnect,"First attempt hit a pre-existing disconnect at login (not a routine bug, account was mid-reconnect on arrival); 2nd attempt completed unattended after CLICK_AT + LOGIN recovery."
first_contact,2026-07-18,routines/tutorial_island/02_gielinor_guide.yaml,,,,,,newbakshesh,pass,,"Completed unattended; exit door opened via INTERACT_OBJECT (DEFECT-1 fix held)."
first_contact,2026-07-18,routines/tutorial_island/03_survival_expert.yaml,,,,,,newbakshesh,pass,,"Completed unattended; fishing XP +10, net + raw shrimps in inventory."
first_contact,2026-07-18,routines/tutorial_island/04_woodcutting_firemaking.yaml,,,,,,newbakshesh,fail,routine_timing_gap,"Stuck at cook-shrimp step: USE_ITEM_ON_OBJECT fires ~5s after the fire is started, before the fire GameObject has spawned. Reproduced twice, identical failure. Sections 05/06 not reached this run as a result."
first_contact,2026-07-18,routines/money_making/chicken_feathers.yaml,,,,,,newbakshesh,pass,,"Smoke test PASS (~30 min)."
first_contact,2026-07-19,routines/money_making/chicken_feathers.yaml,,,,,,newbakshesh,fail,engine_defect,"Sustained grind reached 830+ feathers banked but exposed DEFECT-26: run_routine.py was not actually blocking on KILL_LOOP. Run not clean under the un-fixed bug; redone as a managed run in window-3 once DEFECT-26 landed."
first_contact,2026-07-19,routines/tutorial_island/05_cooking_to_quest_guide.yaml,,,,,,blast,fail,nav_short_circuit,"Bridge GOTO seated the player 2 tiles east of the west-edge corridor (DEFECT-7-class 3-tile short-circuit); all north hops then wall-blocked. Fixed same window (363d1c4)."
first_contact,2026-07-19,routines/tutorial_island/07_mining_smithing.yaml,,,,,,blast,fail,item_matcher_substring,"USE_ITEM_ON_OBJECT ore->Furnace never seated at the furnace; root cause was a substring item matcher hitting Tinderbox for tin ore, not a seating bug (DEFECT-28). Fixed same window (dbba4c3, 3b59347)."
first_contact,2026-07-19,routines/tutorial_island/08_combat.yaml,,,,,,blast,blocked,DEFECT-29_click_bug,"Dagger never equipped: handle_click_widget/handle_equip_item issue CLICK_AT on interface-relative scan bounds as if screen-absolute, clicking the game world (player walks) while still reporting success. Combat Instructor withheld weapons, blocking the section. Parked cleanly at (3111,9525), dagger in inventory unequipped. DEFECT-29 fixed + deployed Python-side after this first-contact attempt (ba8efd3, cba886e)."
first_contact,2026-07-19,routines/money_making/chicken_feathers.yaml,,,,,,newbakshesh,blocked,DEFECT-30_orphaned_loop,"run-1 started 06:54:03Z: 1h KILL_LOOP_CONFIG step timeout orphaned the still-running Java KILL_LOOP as unmanaged_loop (07:55:05Z, kill 177/iteration 191 of a 1000-kill batch). See journals/2026-07-19_newbakshesh_ban_and_pivot.md."
first_contact,2026-07-19,routines/money_making/chicken_feathers.yaml,,,,,,newbakshesh,blocked,account_ban,"run-2 relaunch (07:57:45Z), kill 1 of a fresh batch (the account's 178th scripted kill of the morning) -> account banned 07:58:17Z, 32s later, 'serious rule breaking'. Second behavioral ban in two days on this residential IP. See journals/2026-07-19_newbakshesh_ban_and_pivot.md."
first_contact,2026-07-18,,,,,,,new,blocked,account_ban,"Account alias 'new' (display name GrimmsFairly) banned 'serious rule breaking', same residential IP (diort, no proxy) as the newbakshesh ban a day later. The specific routine/context active at time of ban was not identified in available journals -- left blank rather than guessed."
window,2026-07-19,window-4,0.02,DEFECT-22b/DEFECT-32 (B3 banned-alias login re-gate),0,1,,,,,"Window #4 DEPLOYED to diort: jar 054d629 (manny 2020530) + manny_mcp repo (parked humanization stashed out, restored after). B3 zero-risk banned-alias login gate (alias new, display :4) FAILED on the plugin path: client world-hops continuously and never latches terminal_login_failure -- loginIndex oscillates 10/14 so the stable-index streak backstop (d553977/22247ce) never accumulates. Same class as window-1 DEFECT-22b world-hop failure, now with the oscillation root cause. Filed DEFECT-32 (hop-count/duration-based detection). Vision path (analyze_screenshot) untested this session (no MCP/driver). Also verified dataimpulse residential proxy from laptop+diort (exit 82.0.170.71) and found diort shares the home IP 96.39.231.108 (both bans IP) -- migration gave no IP diversity. See journals/2026-07-19_B3_ban_detection_gate.md and 2026-07-19_proxy_ip_wiring_plan.md."
